x        m             v        
  1.55   0.987008323   0.810501808 
  1.56   0.995127144   0.813261900 
  1.57   1.003273550   0.816018818 
  1.58   1.011447508   0.818772159 
  1.59   1.019648980   0.821521521 
  1.60   1.027877924   0.824266501 
  1.61   1.036134294   0.827006698 
  1.62   1.044418041   0.829741711 
  1.63   1.052729110   0.832471140 
  1.64   1.061067444   0.835194585 
  1.65   1.069432980   0.837911649 
  1.66   1.077825654   0.840621935 
  1.67   1.086245395   0.843325046 
  1.68   1.094692130   0.846020590 
  1.69   1.103165780   0.848708173 
  1.70   1.111666265   0.851387404 
  1.71   1.120193499   0.854057896 
  1.72   1.128747393   0.856719262 
  1.73   1.137327853   0.859371117 
  1.74   1.145934782   0.862013080 
  1.75   1.154568080   0.864644771 
  1.76   1.163227642   0.867265815 
  1.77   1.171913360   0.869875838 
  1.78   1.180625121   0.872474468 
  1.79   1.189362810   0.875061340 
  1.80   1.198126307   0.877636089 
  1.81   1.206915490   0.880198355 
  1.82   1.215730232   0.882747782 
  1.83   1.224570402   0.885284015 
  1.84   1.233435867   0.887806708 
  1.85   1.242326490   0.890315514 
  1.86   1.251242130   0.892810094 
  1.87   1.260182643   0.895290111 
  1.88   1.269147882   0.897755233 
  1.89   1.278137697   0.900205135 
  1.90   1.287151933   0.902639494 
  1.91   1.296190434   0.905057993 
  1.92   1.305253039   0.907460320 
  1.93   1.314339585   0.909846169 
  1.94   1.323449907   0.912215238 
  1.95   1.332583833   0.914567231 
  1.96   1.341741193   0.916901859 
  1.97   1.350921812   0.919218837 
  1.98   1.360125510   0.921517886 
  1.99   1.369352109   0.923798734 
  2.00   1.378601423   0.926061114 
  2.01   1.387873269   0.928304766 
  2.02   1.397167455   0.930529436 
  2.03   1.406483793   0.932734877 
  2.04   1.415822088   0.934920847 
  2.05   1.425182144   0.937087113 
  2.06   1.434563764   0.939233445 
  2.07   1.443966746   0.941359624 
  2.08   1.453390888   0.943465434 
  2.09   1.462835986   0.945550670 
  2.10   1.472301833   0.947615130 
