x        m             v        
1.64   1.064577544   0.820060710 
1.65   1.072790828   0.822595548 
1.66   1.081029442   0.825126695 
1.67   1.089293348   0.827653815 
1.68   1.097582504   0.830176576 
1.69   1.105896864   0.832694644 
1.70   1.114236380   0.835207688 
1.71   1.122601000   0.837715375 
1.72   1.130990669   0.840217377 
1.73   1.139405328   0.842713363 
1.74   1.147844915   0.845203007 
1.75   1.156309366   0.847685982 
1.76   1.164798611   0.850161963 
1.77   1.173312580   0.852630628 
1.78   1.181851198   0.855091654 
1.79   1.190414387   0.857544723 
1.80   1.199002065   0.859989517 
1.81   1.207614149   0.862425721 
1.82   1.216250550   0.864853022 
1.83   1.224911178   0.867271108 
1.84   1.233595940   0.869679672 
1.85   1.242304739   0.872078408 
1.86   1.251037475   0.874467012 
1.87   1.259794045   0.876845185 
1.88   1.268574343   0.879212629 
1.89   1.277378260   0.881569049 
1.90   1.286205686   0.883914155 
1.91   1.295056505   0.886247659 
1.92   1.303930600   0.888569275 
1.93   1.312827850   0.890878724 
1.94   1.321748133   0.893175727 
1.95   1.330691322   0.895460010 
1.96   1.339657289   0.897731304 
1.97   1.348645904   0.899989343 
1.98   1.357657031   0.902233863 
1.99   1.366690535   0.904464608 
2.00   1.375746277   0.906681322 
2.01   1.384824114   0.908883757 
2.02   1.393923903   0.911071667 
2.03   1.403045498   0.913244812 
2.04   1.412188750   0.915402954 
2.05   1.421353506   0.917545864 
2.06   1.430539615   0.919673313 
2.07   1.439746920   0.921785080 
2.08   1.448975264   0.923880948 
2.09   1.458224486   0.925960704 
2.10   1.467494424   0.928024141 
2.11   1.476784913   0.930071058 
2.12   1.486095789   0.932101257 
2.13   1.495426882   0.934114548 
2.14   1.504778023   0.936110743 
2.15   1.514149039   0.938089661 
2.16   1.523539758   0.940051129 
2.17   1.532950003   0.941994975 
2.18   1.542379598   0.943921035 
2.19   1.551828364   0.945829151 
2.20   1.561296121   0.947719169 
2.21   1.570782687   0.949590941 
2.22   1.580287879   0.951444327 
2.23   1.589811512   0.953279190 
2.24   1.599353400   0.955095401 
2.25   1.608913357   0.956892834 
2.26   1.618491194   0.958671371 
2.27   1.628086721   0.960430899 
2.28   1.637699748   0.962171313 
2.29   1.647330083   0.963892510 
2.30   1.656977534   0.965594397 
2.31   1.666641907   0.967276884 
2.32   1.676323007   0.968939888 
2.33   1.686020639   0.970583332 
2.34   1.695734608   0.972207145 
2.35   1.705464716   0.973811262 
2.36   1.715210767   0.975395624 
2.37   1.724972563   0.976960176 
2.38   1.734749905   0.978504872 
2.39   1.744542594   0.980029670 
2.40   1.754350432   0.981534534 
2.41   1.764173218   0.983019434 
2.42   1.774010754   0.984484347 
2.43   1.783862838   0.985929254 
2.44   1.793729272   0.987354142 
2.45   1.803609854   0.988759005 
2.46   1.813504385   0.990143842 
2.47   1.823412664   0.991508656 
2.48   1.833334492   0.992853458 
2.49   1.843269667   0.994178264 
2.50   1.853217990   0.995483094 
2.51   1.863179262   0.996767975 
2.52   1.873153284   0.998032938 
2.53   1.883139855   0.999278022 
2.54   1.893138778   1.000503268 
2.55   1.903149854   1.001708723 
2.56   1.913172886   1.002894441 
2.57   1.923207677   1.004060479 
2.58   1.933254031   1.005206900 
2.59   1.943311750   1.006333770 
2.60   1.953380641   1.007441164 
2.61   1.963460509   1.008529157 
2.62   1.973551160   1.009597831 
2.63   1.983652401   1.010647273 
2.64   1.993764042   1.011677573 
2.65   2.003885889   1.012688827 
2.66   2.014017755   1.013681134 
2.67   2.024159449   1.014654597 
2.68   2.034310784   1.015609325 
2.69   2.044471574   1.016545428 
2.70   2.054641631   1.017463024 
2.71   2.064820773   1.018362231 
2.72   2.075008815   1.019243173 
2.73   2.085205576   1.020105977 
2.74   2.095410875   1.020950772 
2.75   2.105624532   1.021777694 
2.76   2.115846369   1.022586879 
2.77   2.126076211   1.023378468 
2.78   2.136313880   1.024152604 
2.79   2.146559205   1.024909434 
2.80   2.156812012   1.025649107 
2.81   2.167072131   1.026371777 
2.82   2.177339391   1.027077597 
2.83   2.187613627   1.027766726 
2.84   2.197894671   1.028439324 
2.85   2.208182359   1.029095553 
2.86   2.218476528   1.029735578 
2.87   2.228777017   1.030359567 
2.88   2.239083666   1.030967687 
2.89   2.249396318   1.031560112 
2.90   2.259714817   1.032137013 
2.91   2.270039007   1.032698565 
2.92   2.280368737   1.033244944 
2.93   2.290703856   1.033776330 
2.94   2.301044215   1.034292900 
2.95   2.311389665   1.034794836 
2.96   2.321740063   1.035282320 
2.97   2.332095264   1.035755535 
2.98   2.342455127   1.036214665 
2.99   2.352819511   1.036659896 
3.00   2.363188279   1.037091413 
3.01   2.373561294   1.037509404 
3.02   2.383938423   1.037914056 
3.03   2.394319532   1.038305557 
3.04   2.404704491   1.038684096 
3.05   2.415093171   1.039049861 
3.06   2.425485446   1.039403042 
3.07   2.435881191   1.039743829 
3.08   2.446280282   1.040072411 
3.09   2.456682599   1.040388978 
3.10   2.467088022   1.040693719 
3.11   2.477496434   1.040986824 
3.12   2.487907720   1.041268483 
3.13   2.498321767   1.041538884 
3.14   2.508738461   1.041798216 
3.15   2.519157695   1.042046668 
3.16   2.529579359   1.042284427 
3.17   2.540003348   1.042511680 
3.18   2.550429558   1.042728615 
3.19   2.560857887   1.042935416 
3.20   2.571288233   1.043132268 
3.21   2.581720499   1.043319357 
3.22   2.592154588   1.043496866 
3.23   2.602590405   1.043664975 
3.24   2.613027857   1.043823868 
3.25   2.623466853   1.043973724 
3.26   2.633907302   1.044114722 
3.27   2.644349118   1.044247040 
3.28   2.654792215   1.044370855 
3.29   2.665236507   1.044486341 
3.30   2.675681914   1.044593674 
3.31   2.686128354   1.044693025 
3.32   2.696575749   1.044784565 
3.33   2.707024020   1.044868464 
3.34   2.717473093   1.044944891 
3.35   2.727922894   1.045014011 
3.36   2.738373350   1.045075990 
3.37   2.748824390   1.045130991 
3.38   2.759275947   1.045179176 
3.39   2.769727952   1.045220704 
3.40   2.780180339   1.045255733 
3.41   2.790633045   1.045284421 
3.42   2.801086007   1.045306921 
3.43   2.811539163   1.045323387 
3.44   2.821992455   1.045333969 
3.45   2.832445824   1.045338817 
3.46   2.842899213   1.045338077 
3.47   2.853352567   1.045331896 
3.48   2.863805833   1.045320416 
3.49   2.874258958   1.045303778 
3.50   2.884711892   1.045282123 
3.51   2.895164584   1.045255588 
3.52   2.905616988   1.045224309 
3.53   2.916069055   1.045188419 
3.54   2.926520741   1.045148049 
3.55   2.936972002   1.045103329 
3.56   2.947422794   1.045054388 
3.57   2.957873076   1.045001350 
3.58   2.968322807   1.044944339 
3.59   2.978771950   1.044883477 
3.60   2.989220465   1.044818883 
3.61   2.999668315   1.044750674 
3.62   3.010115466   1.044678967 
3.63   3.020561883   1.044603875 
3.64   3.031007533   1.044525509 
3.65   3.041452383   1.044443978 
3.66   3.051896402   1.044359391 
